date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,JE,JURONG EAST,103.73479,1.32044,62
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,JW,JURONG WEST,103.70487,1.3416,69
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,KL,KALLANG,103.86643,1.31033,155
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,NT,NEWTON,103.83808,1.30866,43
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,NV,NOVENA,103.83531,1.32699,178
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,OR,ORCHARD,103.83358,1.30381,63
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,OT,OUTRAM,103.84206,1.28286,57
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,PL,PAYA LEBAR,103.91477,1.35939,47
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,PN,PIONEER,103.67299,1.31259,73
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,PR,PASIR RIS,103.9483,1.37862,55
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,QT,QUEENSTOWN,103.78434,1.28916,162
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,RC,ROCHOR,103.85325,1.30426,55
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,SB,SEMBAWANG,103.81883,1.45575,139
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,92
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,SG,SERANGOON,103.86782,1.3652,601
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,TM,TAMPINES,103.95422,1.34373,185
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,TN,TANGLIN,103.8175,1.30828,45
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,TP,TOA PAYOH,103.86106,1.33668,167
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,TS,TUAS,103.63072,1.28389,82
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,WD,WOODLANDS,103.78771,1.44068,111
2018-02-2,05:00:00,AM,ANG MO KIO,103.8421,1.38009,YS,YISHUN,103.83756,1.41544,224
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,AM,ANG MO KIO,103.8421,1.38009,3954
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BD,BEDOK,103.92841,1.32405,347
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BK,BUKIT BATOK,103.75474,1.35565,115
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BL,BOON LAY,103.70223,1.3148,72
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,558
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BP,BUKIT PANJANG,103.77304,1.36674,57
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BS,BISHAN,103.84042,1.35496,1044
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,BT,BUKIT TIMAH,103.79069,1.32999,204
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,CH,CHANGI,103.99782,1.35081,290
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,CK,CHOA CHU KANG,103.74719,1.38555,115
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,CL,CLEMENTI,103.76074,1.3176,109
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,DT,DOWNTOWN CORE,103.8543,1.28508,792
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,GL,GEYLANG,103.88953,1.3209,467
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,479
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,JE,JURONG EAST,103.73479,1.32044,189
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,JW,JURONG WEST,103.70487,1.3416,180
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,KL,KALLANG,103.86643,1.31033,356
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,MP,MARINE PARADE,103.89627,1.30023,73
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,MU,MUSEUM,103.84671,1.29592,65
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,NT,NEWTON,103.83808,1.30866,86
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,NV,NOVENA,103.83531,1.32699,424
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,OR,ORCHARD,103.83358,1.30381,176
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,OT,OUTRAM,103.84206,1.28286,182
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,PG,PUNGGOL,103.91004,1.40536,69
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,PL,PAYA LEBAR,103.91477,1.35939,93
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,PN,PIONEER,103.67299,1.31259,153
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,PR,PASIR RIS,103.9483,1.37862,115
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,QT,QUEENSTOWN,103.78434,1.28916,621
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,RC,ROCHOR,103.85325,1.30426,136
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,RV,RIVER VALLEY,103.83397,1.29805,54
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SB,SEMBAWANG,103.81883,1.45575,251
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,248
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SG,SERANGOON,103.86782,1.3652,1134
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SI,SOUTHERN ISLANDS,103.83581,1.24299,50
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SK,SUNGEI KADUT,103.75747,1.41807,90
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,SR,SINGAPORE RIVER,103.84121,1.29011,85
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,TM,TAMPINES,103.95422,1.34373,335
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,TN,TANGLIN,103.8175,1.30828,93
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,TP,TOA PAYOH,103.86106,1.33668,419
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,TS,TUAS,103.63072,1.28389,186
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,88
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,WD,WOODLANDS,103.78771,1.44068,305
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,WI,WESTERN ISLANDS,103.70913,1.24913,62
2018-02-2,06:00:00,AM,ANG MO KIO,103.8421,1.38009,YS,YISHUN,103.83756,1.41544,500
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,AM,ANG MO KIO,103.8421,1.38009,5199
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BD,BEDOK,103.92841,1.32405,375
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BK,BUKIT BATOK,103.75474,1.35565,151
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BL,BOON LAY,103.70223,1.3148,74
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,756
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BP,BUKIT PANJANG,103.77304,1.36674,66
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BS,BISHAN,103.84042,1.35496,1148
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,BT,BUKIT TIMAH,103.79069,1.32999,244
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,CH,CHANGI,103.99782,1.35081,315
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,CK,CHOA CHU KANG,103.74719,1.38555,122
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,CL,CLEMENTI,103.76074,1.3176,139
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,DT,DOWNTOWN CORE,103.8543,1.28508,1820
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,GL,GEYLANG,103.88953,1.3209,659
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,574
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,JE,JURONG EAST,103.73479,1.32044,286
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,JW,JURONG WEST,103.70487,1.3416,177
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,KL,KALLANG,103.86643,1.31033,512
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,MP,MARINE PARADE,103.89627,1.30023,82
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,MU,MUSEUM,103.84671,1.29592,147
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,NT,NEWTON,103.83808,1.30866,139
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,NV,NOVENA,103.83531,1.32699,544
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,OR,ORCHARD,103.83358,1.30381,390
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,OT,OUTRAM,103.84206,1.28286,309
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,PG,PUNGGOL,103.91004,1.40536,89
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,PL,PAYA LEBAR,103.91477,1.35939,109
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,PN,PIONEER,103.67299,1.31259,100
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,PR,PASIR RIS,103.9483,1.37862,119
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,QT,QUEENSTOWN,103.78434,1.28916,915
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,RC,ROCHOR,103.85325,1.30426,234
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,RV,RIVER VALLEY,103.83397,1.29805,76
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SB,SEMBAWANG,103.81883,1.45575,332
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,292
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SG,SERANGOON,103.86782,1.3652,1488
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SI,SOUTHERN ISLANDS,103.83581,1.24299,42
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SK,SUNGEI KADUT,103.75747,1.41807,158
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SL,SELETAR,103.87709,1.41434,61
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,SR,SINGAPORE RIVER,103.84121,1.29011,131
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,TM,TAMPINES,103.95422,1.34373,506
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,TN,TANGLIN,103.8175,1.30828,120
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,TP,TOA PAYOH,103.86106,1.33668,691
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,TS,TUAS,103.63072,1.28389,99
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,112
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,WD,WOODLANDS,103.78771,1.44068,482
2018-02-2,07:00:00,AM,ANG MO KIO,103.8421,1.38009,YS,YISHUN,103.83756,1.41544,782
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,AM,ANG MO KIO,103.8421,1.38009,5407
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,BD,BEDOK,103.92841,1.32405,315
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,BK,BUKIT BATOK,103.75474,1.35565,130
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,BM,BUKIT MERAH,103.82311,1.27548,593
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,BS,BISHAN,103.84042,1.35496,1301
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,BT,BUKIT TIMAH,103.79069,1.32999,165
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,CC,CENTRAL WATER CATCHMENT,103.80119,1.37666,45
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,CH,CHANGI,103.99782,1.35081,177
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,CK,CHOA CHU KANG,103.74719,1.38555,62
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,CL,CLEMENTI,103.76074,1.3176,100
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,DT,DOWNTOWN CORE,103.8543,1.28508,1983
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,GL,GEYLANG,103.88953,1.3209,721
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,HG,HOUGANG,103.8898,1.36364,602
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,JE,JURONG EAST,103.73479,1.32044,189
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,JW,JURONG WEST,103.70487,1.3416,95
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,KL,KALLANG,103.86643,1.31033,473
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,MU,MUSEUM,103.84671,1.29592,151
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,NT,NEWTON,103.83808,1.30866,126
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,NV,NOVENA,103.83531,1.32699,603
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,OR,ORCHARD,103.83358,1.30381,575
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,OT,OUTRAM,103.84206,1.28286,269
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,PG,PUNGGOL,103.91004,1.40536,86
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,PL,PAYA LEBAR,103.91477,1.35939,51
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,PN,PIONEER,103.67299,1.31259,53
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,PR,PASIR RIS,103.9483,1.37862,73
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,QT,QUEENSTOWN,103.78434,1.28916,832
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,RC,ROCHOR,103.85325,1.30426,255
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,RV,RIVER VALLEY,103.83397,1.29805,61
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SB,SEMBAWANG,103.81883,1.45575,219
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SE,SENGKANG,103.8877,1.39127,227
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SG,SERANGOON,103.86782,1.3652,1616
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SI,SOUTHERN ISLANDS,103.83581,1.24299,49
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SK,SUNGEI KADUT,103.75747,1.41807,88
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SL,SELETAR,103.87709,1.41434,57
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,SR,SINGAPORE RIVER,103.84121,1.29011,212
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,TM,TAMPINES,103.95422,1.34373,335
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,TN,TANGLIN,103.8175,1.30828,120
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,TP,TOA PAYOH,103.86106,1.33668,663
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,TS,TUAS,103.63072,1.28389,77
2018-02-2,08:00:00,AM,ANG MO KIO,103.8421,1.38009,WC,WESTERN WATER CATCHMENT,103.68972,1.38214,63
