ubzone Code,Subzone Name
PRSZ02,PASIR RIS WEST
RVSZ02,PATERSON
PLSZ02,PAYA LEBAR EAST
PLSZ01,PAYA LEBAR NORTH
PLSZ03,PAYA LEBAR WEST
OTSZ01,PEARL'S HILL
TPSZ06,PEI CHUN
CKSZ04,PENG SIANG
JESZ10,PENJURU CRESCENT
OTSZ02,PEOPLE'S PARK
DTSZ04,PHILLIP
PNSZ05,PIONEER SECTOR
PLSZ05,PLAB
QTSZ15,PORT
TPSZ09,POTONG PASIR
SLSZ02,PULAU PUNGGOL BARAT
SLSZ03,PULAU PUNGGOL TIMOR
SMSZ04,PULAU SELETAR
PGSZ06,PUNGGOL CANAL
PGSZ04,PUNGGOL FIELD
PGSZ02,PUNGGOL TOWN CENTRE
QTSZ07,QUEENSWAY
DTSZ05,RAFFLES PLACE
BMSZ03,REDHILL
SKSZ05,RESERVOIR VIEW
TNSZ03,RIDOUT
SESZ02,RIVERVALE
SRSZ01,ROBERTSON QUAY
RCSZ04,ROCHOR CANAL
JWSZ07,SAFTI
BLSZ03,SAMULUN
BPSZ02,SAUJANA
RCSZ08,SELEGIE
SLSZ04,SELETAR
SLSZ01,SELETAR AEROSPACE PARK
SGSZ01,SELETAR HILLS
WISZ02,SEMAKAU
SBSZ03,SEMBAWANG CENTRAL
SBSZ01,SEMBAWANG EAST
AMSZ07,SEMBAWANG HILLS
SBSZ04,SEMBAWANG NORTH
SBSZ02,SEMBAWANG SPRINGS
SBSZ06,SEMBAWANG STRAITS
SESZ03,SENGKANG TOWN CENTRE
SESZ07,SENGKANG WEST
BPSZ01,SENJA
TPSZ11,SENNETT
SBSZ08,SENOKO NORTH
SBSZ09,SENOKO SOUTH
WDSZ08,SENOKO WEST
SISZ01,SENTOSA
SGSZ06,SERANGOON CENTRAL
SGSZ04,SERANGOON GARDEN
SGSZ03,SERANGOON NORTH
SGSZ02,SERANGOON NORTH IND ESTATE
AMSZ05,SHANGRI-LA
BLSZ04,SHIPYARD
BDSZ07,SIGLAP
TMSZ04,SIMEI
SMSZ01,SIMPANG NORTH
SMSZ03,SIMPANG SOUTH
