origin,destination,road,public
BISHAN,PIONEER,18,59
BISHAN,PUNGGOL,18,56
BISHAN,QUEENSTOWN,1000,56
BISHAN,RIVER VALLEY,17,51
BISHAN,ROCHOR,12,35
BISHAN,SELETAR,13,72
BISHAN,SEMBAWANG,21,46
BISHAN,SENGKANG,20,54
BISHAN,SERANGOON,11,35
BISHAN,SIMPANG,1000,35
BISHAN,SINGAPORE RIVER,18,54
BISHAN,SOUTHERN ISLANDS,16,52
BISHAN,STRAITS VIEW,18,47
BISHAN,SUNGEI KADUT,19,63
BISHAN,TAMPINES,21,62
BISHAN,TANGLIN,13,45
BISHAN,TENGAH,1000,45
BISHAN,TOA PAYOH,9,41
BISHAN,TUAS,34,109
BISHAN,WESTERN ISLANDS,1000,109
BISHAN,WESTERN WATER CATCHMENT,26,79
BISHAN,WOODLANDS,18,55
BISHAN,YISHUN,20,44
BOON LAY,ANG MO KIO,32,103
BOON LAY,BEDOK,30,92
BOON LAY,BISHAN,23,88
BOON LAY,BUKIT BATOK,19,90
BOON LAY,BUKIT MERAH,16,73
BOON LAY,BUKIT PANJANG,21,84
BOON LAY,BUKIT TIMAH,21,94
BOON LAY,CENTRAL WATER CATCHMENT,18,96
BOON LAY,CHANGI,32,139
BOON LAY,CHANGI BAY,1000,139
BOON LAY,CHOA CHU KANG,21,71
BOON LAY,CLEMENTI,10,54
BOON LAY,DOWNTOWN CORE,23,76
BOON LAY,GEYLANG,31,86
BOON LAY,HOUGANG,30,99
BOON LAY,JURONG EAST,11,53
BOON LAY,JURONG WEST,9,34
BOON LAY,KALLANG,27,84
BOON LAY,LIM CHU KANG,23,106
BOON LAY,MANDAI,30,106
BOON LAY,MARINA EAST,30,106
BOON LAY,MARINA SOUTH,22,105
BOON LAY,MARINE PARADE,24,104
BOON LAY,MUSEUM,22,83
BOON LAY,NEWTON,25,90
BOON LAY,NORTH-EASTERN ISLANDS,1000,90
BOON LAY,NOVENA,22,91
BOON LAY,ORCHARD,23,88
BOON LAY,OUTRAM,20,77
BOON LAY,PASIR RIS,35,104
BOON LAY,PAYA LEBAR,33,125
BOON LAY,PIONEER,21,73
BOON LAY,PUNGGOL,35,116
BOON LAY,QUEENSTOWN,1000,116
BOON LAY,RIVER VALLEY,20,84
BOON LAY,ROCHOR,25,86
BOON LAY,SELETAR,31,120
BOON LAY,SEMBAWANG,32,86
BOON LAY,SENGKANG,38,109
BOON LAY,SERANGOON,27,97
BOON LAY,SIMPANG,1000,97
BOON LAY,SINGAPORE RIVER,20,84
BOON LAY,SOUTHERN ISLANDS,21,83
BOON LAY,STRAITS VIEW,21,81
BOON LAY,SUNGEI KADUT,24,102
BOON LAY,TAMPINES,33,109
BOON LAY,TANGLIN,21,84
BOON LAY,TENGAH,1000,84
BOON LAY,TOA PAYOH,24,99
BOON LAY,TUAS,18,91
BOON LAY,WESTERN ISLANDS,1000,91
BOON LAY,WESTERN WATER CATCHMENT,15,61
BOON LAY,WOODLANDS,27,83
BOON LAY,YISHUN,35,89
BUKIT BATOK,ANG MO KIO,24,57
BUKIT BATOK,BEDOK,25,63
BUKIT BATOK,BISHAN,16,51
BUKIT BATOK,BOON LAY,21,96
BUKIT BATOK,BUKIT MERAH,20,55
BUKIT BATOK,BUKIT PANJANG,7,32
BUKIT BATOK,BUKIT TIMAH,17,31
BUKIT BATOK,CENTRAL WATER CATCHMENT,12,49
BUKIT BATOK,CHANGI,28,116
BUKIT BATOK,CHANGI BAY,1000,116
BUKIT BATOK,CHOA CHU KANG,10,38
BUKIT BATOK,CLEMENTI,11,37
BUKIT BATOK,DOWNTOWN CORE,24,54
BUKIT BATOK,GEYLANG,24,57
BUKIT BATOK,HOUGANG,23,56
BUKIT BATOK,JURONG EAST,14,41
BUKIT BATOK,JURONG WEST,21,71
BUKIT BATOK,KALLANG,21,59
BUKIT BATOK,LIM CHU KANG,22,83
BUKIT BATOK,MANDAI,18,61
BUKIT BATOK,MARINA EAST,29,62
BUKIT BATOK,MARINA SOUTH,26,68
BUKIT BATOK,MARINE PARADE,22,62
BUKIT BATOK,MUSEUM,23,53
BUKIT BATOK,NEWTON,20,35
BUKIT BATOK,NORTH-EASTERN ISLANDS,1000,35
BUKIT BATOK,NOVENA,16,45
BUKIT BATOK,ORCHARD,21,49
BUKIT BATOK,OUTRAM,24,48
BUKIT BATOK,PASIR RIS,29,74
BUKIT BATOK,PAYA LEBAR,26,85
BUKIT BATOK,PIONEER,25,52
BUKIT BATOK,PUNGGOL,26,74
BUKIT BATOK,QUEENSTOWN,1000,74
BUKIT BATOK,RIVER VALLEY,22,77
BUKIT BATOK,ROCHOR,20,36
BUKIT BATOK,SELETAR,21,92
BUKIT BATOK,SEMBAWANG,20,63
BUKIT BATOK,SENGKANG,28,66
BUKIT BATOK,SERANGOON,20,60
BUKIT BATOK,SIMPANG,1000,60
BUKIT BATOK,SINGAPORE RIVER,24,55
BUKIT BATOK,SOUTHERN ISLANDS,23,54
BUKIT BATOK,STRAITS VIEW,25,43
BUKIT BATOK,SUNGEI KADUT,12,32
BUKIT BATOK,TAMPINES,28,84
BUKIT BATOK,TANGLIN,18,55
BUKIT BATOK,TENGAH,1000,55
BUKIT BATOK,TOA PAYOH,17,60
BUKIT BATOK,TUAS,28,107
BUKIT BATOK,WESTERN ISLANDS,1000,107
BUKIT BATOK,WESTERN WATER CATCHMENT,20,77
BUKIT BATOK,WOODLANDS,15,52
BUKIT BATOK,YISHUN,23,62
BUKIT MERAH,ANG MO KIO,19,57
BUKIT MERAH,BEDOK,17,46
BUKIT MERAH,BISHAN,17,46
BUKIT MERAH,BOON LAY,19,77
BUKIT MERAH,BUKIT BATOK,21,56
BUKIT MERAH,BUKIT PANJANG,23,64
BUKIT MERAH,BUKIT TIMAH,15,36
BUKIT MERAH,CENTRAL WATER CATCHMENT,15,44
BUKIT MERAH,CHANGI,18,92
BUKIT MERAH,CHANGI BAY,1000,92
BUKIT MERAH,CHOA CHU KANG,25,54
BUKIT MERAH,CLEMENTI,12,32
BUKIT MERAH,DOWNTOWN CORE,9,29
BUKIT MERAH,GEYLANG,19,40
BUKIT MERAH,HOUGANG,18,52
BUKIT MERAH,JURONG EAST,17,36
BUKIT MERAH,JURONG WEST,23,49
BUKIT MERAH,KALLANG,14,37
BUKIT MERAH,LIM CHU KANG,31,104
BUKIT MERAH,MANDAI,24,90
BUKIT MERAH,MARINA EAST,17,59
BUKIT MERAH,MARINA SOUTH,9,58
BUKIT MERAH,MARINE PARADE,11,58
BUKIT MERAH,MUSEUM,9,36
BUKIT MERAH,NEWTON,12,44
BUKIT MERAH,NORTH-EASTERN ISLANDS,1000,44
BUKIT MERAH,NOVENA,12,45
BUKIT MERAH,ORCHARD,10,29
BUKIT MERAH,OUTRAM,7,28
BUKIT MERAH,PASIR RIS,22,57
BUKIT MERAH,PAYA LEBAR,19,87
BUKIT MERAH,PIONEER,8,27
BUKIT MERAH,PUNGGOL,22,70
BUKIT MERAH,QUEENSTOWN,1000,70
BUKIT MERAH,RIVER VALLEY,7,23
BUKIT MERAH,ROCHOR,12,38
BUKIT MERAH,SELETAR,18,92
BUKIT MERAH,SEMBAWANG,30,66
BUKIT MERAH,SENGKANG,24,62
BUKIT MERAH,SERANGOON,14,69
BUKIT MERAH,SIMPANG,1000,69
BUKIT MERAH,SINGAPORE RIVER,7,32
BUKIT MERAH,SOUTHERN ISLANDS,8,36
BUKIT MERAH,STRAITS VIEW,8,34
BUKIT MERAH,SUNGEI KADUT,24,55
BUKIT MERAH,TAMPINES,20,62
BUKIT MERAH,TANGLIN,11,41
BUKIT MERAH,TENGAH,1000,41
BUKIT MERAH,TOA PAYOH,16,60
BUKIT MERAH,TUAS,30,101
BUKIT MERAH,WESTERN ISLANDS,1000,101
BUKIT MERAH,WESTERN WATER CATCHMENT,26,65
BUKIT MERAH,WOODLANDS,27,66
BUKIT MERAH,YISHUN,25,61
BUKIT PANJANG,ANG MO KIO,23,64
BUKIT PANJANG,BEDOK,25,68
BUKIT PANJANG,BISHAN,17,57
BUKIT PANJANG,BOON LAY,24,77
BUKIT PANJANG,BUKIT BATOK,10,28
BUKIT PANJANG,BUKIT MERAH,23,63
BUKIT PANJANG,BUKIT TIMAH,17,46
BUKIT PANJANG,CENTRAL WATER CATCHMENT,12,60
BUKIT PANJANG,CHANGI,28,111
BUKIT PANJANG,CHANGI BAY,1000,111
BUKIT PANJANG,CHOA CHU KANG,9,21
BUKIT PANJANG,CLEMENTI,14,42
BUKIT PANJANG,DOWNTOWN CORE,25,57
BUKIT PANJANG,GEYLANG,24,62
BUKIT PANJANG,HOUGANG,23,59
BUKIT PANJANG,JURONG EAST,18,38
BUKIT PANJANG,JURONG WEST,21,64
BUKIT PANJANG,KALLANG,21,68
BUKIT PANJANG,LIM CHU KANG,22,71
BUKIT PANJANG,MANDAI,17,41
BUKIT PANJANG,MARINA EAST,29,71
BUKIT PANJANG,MARINA SOUTH,26,78
BUKIT PANJANG,MARINE PARADE,23,64
BUKIT PANJANG,MUSEUM,23,46
BUKIT PANJANG,NEWTON,20,37
BUKIT PANJANG,NORTH-EASTERN ISLANDS,1000,37
BUKIT PANJANG,NOVENA,16,48
BUKIT PANJANG,ORCHARD,21,41
BUKIT PANJANG,OUTRAM,26,52
BUKIT PANJANG,PASIR RIS,28,80
BUKIT PANJANG,PAYA LEBAR,27,80
BUKIT PANJANG,PIONEER,26,61
BUKIT PANJANG,PUNGGOL,25,77
BUKIT PANJANG,QUEENSTOWN,1000,77
BUKIT PANJANG,RIVER VALLEY,22,54
BUKIT PANJANG,ROCHOR,20,39
BUKIT PANJANG,SELETAR,20,86
BUKIT PANJANG,SEMBAWANG,19,45
BUKIT PANJANG,SENGKANG,27,70
BUKIT PANJANG,SERANGOON,21,64
BUKIT PANJANG,SIMPANG,1000,64
BUKIT PANJANG,SINGAPORE RIVER,25,59
BUKIT PANJANG,SOUTHERN ISLANDS,23,58
BUKIT PANJANG,STRAITS VIEW,26,53
BUKIT PANJANG,SUNGEI KADUT,12,26
BUKIT PANJANG,TAMPINES,28,81
BUKIT PANJANG,TANGLIN,20,51
BUKIT PANJANG,TENGAH,1000,51
BUKIT PANJANG,TOA PAYOH,17,49
BUKIT PANJANG,TUAS,28,104
BUKIT PANJANG,WESTERN ISLANDS,1000,104
BUKIT PANJANG,WESTERN WATER CATCHMENT,19,73
BUKIT PANJANG,WOODLANDS,14,39
BUKIT PANJANG,YISHUN,22,49
BUKIT TIMAH,ANG MO KIO,18,36
BUKIT TIMAH,BEDOK,20,54
BUKIT TIMAH,BISHAN,10,37
BUKIT TIMAH,BOON LAY,19,89
BUKIT TIMAH,BUKIT BATOK,11,31
BUKIT TIMAH,BUKIT MERAH,14,37
BUKIT TIMAH,BUKIT PANJANG,15,47
BUKIT TIMAH,CENTRAL WATER CATCHMENT,6,26
BUKIT TIMAH,CHANGI,23,107
BUKIT TIMAH,CHANGI BAY,1000,107
